category-en,subcategory-en,icon1,icon2,category-es,subcategory-es
Education,,noun_education_1325461.svg,noun_education_1477048.svg,Educación,
Education,ESL,noun_American_2518886(1).svg,,Educación,Clases de inglés
Education,Adult education,noun_Class_550290.svg,noun_Class_3239922.svg,Educación,Clases para adultos
Education,Citizenship preparation,noun_Passport_185597.svg,noun_Identification Document_68928.svg,Educación,Preparación para la ciudadanía
Education,Career education,noun_Engineering_636562.svg,noun_Farmer Harvesting Grape_637672.svg,Educación,Capacitación profesional
Elderly services,,noun_Elderly_14525.svg,noun_geriatric_2305915.svg,Servicios para los ancianos,
Emergency assistance,,noun_Care line_438491.svg,noun_emergency call_3157172.svg,Asistencia de emergencias,
Emergency assistance,Food,noun_Shopping Cart_327624.svg,noun_Food_2483050.svg,Asistencia de emergencias,Alimentos
Emergency assistance,Clothing,noun_clothing_2207999.svg,noun_clothing_2207999.svg,Asistencia de emergencias,Ropa
Emergency assistance,Medicine,noun_Medicine_3306510.svg,noun_Medicine_3284080.svg,Asistencia de emergencias,Medicina
Emergency assistance,Emergency shelter,noun_Shelter_559521.svg,noun_Shelter_24591.svg,Asistencia de emergencias,Refugio de emergencia
Emergency assistance,Other needs,noun_Shelter_24591.svg,noun_assistance_635295.svg,Asistencia de emergencias,Otras necesidades
Financial help,,noun_Charity_2766169.svg,noun_financial support_2139199.svg,Ayuda financiera,
Financial help,Personal finances,noun_finance_749154.svg,noun_finances_943377.svg,Ayuda financiera,Fianzas personales
Financial help,Emergency financial aid,noun_business support icon_2851674.svg,noun_Emergency finanical_aid_1640211.svg,Ayuda financiera,Ayuda financiera de emergencia
Health,,noun_Health_2377441.svg,noun_Stethoscope_187692.svg,Salud,
Health,General medicine,noun_Health_2188971.svg,noun_Doctor_167328.svg,Salud,Medicina general
Health,Women's health,noun_Nurse_2588386.svg,noun_Pregnancy_1339472.svg,Salud,Salud de la mujer
Health,Specialty medicine,noun_Doctor_57600.svg,noun_Doctor_57606.svg,Salud,Especialistas médicos
Health,Dental,noun_dental_1945555.svg,noun_dental_2182702.svg,Salud,Dental
Health,Health accessibility,noun_medical_3232541.svg,noun_health insurance_1051868.svg,Salud,Acceso a cobertura de salud
Health,Farm visits,noun_Farm_2723267.svg,noun_medic bag_1578573.svg,Salud,Visitas a fincas
Housing,,noun_House_1723064.svg,noun_House_635832.svg,Vivienda,
Housing,Affordable housing,noun_affordable housing_2262867.svg,noun_affordability_2083153.svg,Vivienda,Vivienda accesible
Housing,Utility assistance,noun_Home Electricity_2244814.svg,noun_Water Bill_420722.svg,Vivienda,Asistencia para pagos de utilidad
Housing,Housing improvements,noun_home improvement_25717.svg,noun_House Renovation_1383192.svg,Vivienda,Mejoramiento de la vivienda
Housing,Home ownership,noun_Real Estate_30626.svg,noun_Key_428295.svg,Vivienda,Propieda de la vivienda
Labor,,noun_crops_145041.svg,noun_Dairy Farmer_974213(1).svg,Trabajo,
Labor,Job search assistance,noun_Job Search_600665.svg,noun_Find Employee_2230578.svg,Trabajo,Conseguir trabajo
Labor,Training,noun_training_2457648.svg,noun_rotation_2960071.svg,Trabajo,Entrenamiento para el trabajo
Labor,Career advice,noun_career_2317166.svg,noun_career_2252291.svg,Trabajo,Asesoramiento de carrera
Legal aid,,noun_legal_2077366.svg,noun_legal_3082155.svg,Asistencia legal,
Legal aid,"Immigration (deportation and removal, citizenship, and naturalization)",noun_Immigration_2858010.svg,noun_Immigration_3140877.svg,Asistencia legal,"Inmigración (deportación, ciudadanía y regularización)"
Legal aid,Family law,noun_Family_642285.svg,noun_Family_686641.svg,Asistencia legal,Leyes familiar
Legal aid,Other law,noun_Law_1055409.svg,noun_Law_2041951.svg,Asistencia legal,Otros casos legales
Legal aid,Labor rights,noun_Fair Labor Rights_58375.svg,noun_labor_2902727.svg,Asistencia legal,Derechos laborales
Leadership training,,noun_training_1984139.svg,noun_leadership_1333639.svg,Capacitación en liderazgo,
Leadership training,Legislative advocacy,noun_Congress_2952587.svg,noun_speech_2051902.svg,Capacitación en liderazgo,Promoción de leyes y política
Leadership training,Educational initiatives,noun_personal development_2139248.svg,noun_education_1939950.svg,Capacitación en liderazgo,Iniciativas Educaciónales
Leadership training,Empowerment,noun_leadership_2909348.svg,noun_coaching_66723.svg,Capacitación en liderazgo,Empoderamiento
Mental health,,noun_good Mental health_2686188.svg,noun_Mental health_66159.svg,Salud mental,
Mental health,Psychological support,noun_Mental health_1211643.svg,noun_psychology_3216399.svg,Salud mental,Apoyo psicológico
Mental health,Drug /alcohol abuse treatment,noun_Alcoholism_2686196.svg,noun_alcoholic_225536.svg,Salud mental,Tratamiento para alcoholismo/drogadicción)
